affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
fsu.fsu.edu,,fsu.edu,0.895938375,,460,Florida State University,Florida Atlantic University,,
uocb.colorado.edu,,colorado.edu,0.767694805,,117,"University of Colorado, Boulder",University of Melbourne,,
csu.colostate.edu,,colostate.edu,0.806060606,,338,Colorado State University,Iowa State University,,
cu.columbia.edu,,columbia.edu,1,,52,Columbia University,Columbia University,TRUE,52
cu.concordia.ca,,concordia.ca,0.738095238,,28,Concordia University,Oxford University,,
tuohk.hku.hk,,hku.hk,0.82020202,,194,The University of Hong Kong,University of Hong Kong,TRUE,194
cu.cornell.edu,,cornell.edu,1,,93,Cornell University,Cornell University,TRUE,93
smu.smu.edu,,smu.edu,1,,423,Southern Methodist University,Southern Methodist University,TRUE,423
cdreei.crei.cat,,crei.cat,0.873956528,,510,Centre de Recerca en Economia Internacional,Centre de Recherche en Économie et Management,,
uot.u-tokyo.ac.jp,,u-tokyo.ac.jp,1,,345,University of Tokyo,University of Tokyo,TRUE,345
csun.csun.edu,,csun.edu,0.696969697,,96,"California State University, Northridge",University of Cambridge,,
cuofae.cufe.edu.cn,,cufe.edu.cn,1,,346,Central University of Finance and Economics,Central University of Finance and Economics,TRUE,346
du.dal.ca,,dal.ca,0.685185185,,364,Dalhousie University,Syracuse University,,
frbod.dal.frb.org,,dal.frb.org,1,,70,Federal Reserve Bank of Dallas,Federal Reserve Bank of Dallas,TRUE,70
uov.virginia.edu,,virginia.edu,1,,182,University of Virginia,University of Virginia,TRUE,182
dc.dartmouth.edu,,dartmouth.edu,1,,83,Dartmouth College,Dartmouth College,TRUE,83
du.depaul.edu,,depaul.edu,0.771428571,,140,DePaul University,Deakin University,,
desr.deshawresearch.com,,deshawresearch.com,0.63143971,,533,D. E. Shaw Research,University of South Africa,,
dc.dickinson.edu,,dickinson.edu,0.752941176,,83,Dickinson College,Dartmouth College,,
uof.unifi.it,,unifi.it,0.826666667,,363,University of Florence,University of Oregon,,
du.drake.edu,,drake.edu,0.84,,84,Drake University,Duke University,,
du.drexel.edu,,drexel.edu,1,,196,Drexel University,Drexel University,TRUE,196
uod.du.edu,,du.edu,0.8,,260,University of Denver,University of Exeter,,
uod.udn.vn,,udn.vn,0.8,,534,University of Danang,University of Reading,,
du.duke.edu,,duke.edu,1,,84,Duke University,Duke University,TRUE,84
du.dur.ac.uk,,dur.ac.uk,0.737815126,,83,Durham University,Dartmouth College,,
ecjrc.europa.eu,,europa.eu,0.701846047,,337,"European Commission, Joint Research Centre",Oesterreichische Nationalbank,,
ucidm.uc3m.es,,uc3m.es,1,,138,Universidad Carlos III de Madrid,Universidad Carlos III de Madrid,TRUE,138
uoh.haifa.ac.il,,haifa.ac.il,0.805291005,,192,University of Haifa,University of Waikato,,
ku.keio.ac.jp,,keio.ac.jp,1,,308,Keio University,Keio University,TRUE,308
uoc.ku.dk,,ku.dk,0.829419192,,487,University of Copenhagen,University of Cape Town,,
ku.kyoto-u.ac.jp,,kyoto-u.ac.jp,0.746031746,,38,Kyoto University,Boston University,,
uom.lmu.de,,lmu.de,0.848333333,,73,University of Munich,University of Michigan,,
qu.queensu.ca,,queensu.ca,1,,231,Queen's University,Queen's University,TRUE,231
uocsb.ucsb.edu,,ucsb.edu,0.775824176,,246,"University of California, Santa Barbara",University of California-Santa Barbara,,
uoo.uio.no,,uio.no,0.837037037,,440,University of Oslo,University of Houston,,
uom.umd.edu,,umd.edu,1,,113,University of Maryland,University of Maryland,TRUE,113
yu.yorku.ca,,yorku.ca,1,,441,York University,York University,TRUE,441
tau.tamu.edu,,tamu.edu,1,,141,Texas A&M University,Texas A&M University,TRUE,141
uog.gu.se,,gu.se,0.817592593,,220,University of Gothenburg,University of Georgia,,
uoo.ox.ac.uk,,ox.ac.uk,0.869047619,,28,University of Oxford,Oxford University,TRUE,28
uoma.umass.edu,,umass.edu,0.794642857,,302,"University of Massachusetts, Amherst",University of Manchester,,
