,DOI,authorId,name,paperCount,citationCount,hIndex
6471,10.1257/aer.p20171095,104542325,L. Chancel,39.0,1657.0,14.0
6472,10.1257/aer.p20171095,5583509,T. Piketty,249.0,33222.0,60.0
6473,10.1257/aer.p20171095,8418288,Emmanuel Saez,222.0,38502.0,73.0
6474,10.1257/aer.p20171095,103450873,G. Zucman,83.0,7973.0,25.0
6475,10.1257/aer.p20171081,5298329,Trevon Logan,100.0,1148.0,20.0
6476,10.1257/aer.p20171081,13185705,John M. Parman,34.0,560.0,12.0
6477,10.1257/aer.p20171082,144081341,S. Carter,22.0,552.0,8.0
6478,10.1257/aer.p20171082,2116709700,Alexander A. Smith,8.0,36.0,4.0
6479,10.1257/aer.p20171082,123579896,Carl Wojtaszek,5.0,8.0,1.0
6480,10.1257/aer.p20171141,71460111,A. Shimeles,90.0,2075.0,25.0
6481,10.1257/aer.p20171141,77948760,Daniel Gurara,23.0,258.0,9.0
6482,10.1257/aer.p20171141,38283980,F. Woldeyes,16.0,153.0,6.0
6483,10.1257/aer.p20171144,121124366,J. Burnette,6.0,9.0,2.0
6484,10.1257/aer.p20171147,5645838,Emma Aguila,75.0,617.0,13.0
6485,10.1257/aer.p20171147,50502762,A. Kapteyn,304.0,12440.0,60.0
6486,10.1257/aer.p20171147,1402099651,F. Perez-Arce,62.0,672.0,14.0
6487,10.1257/aer.p20171051,47161553,Anouch Missirian,6.0,177.0,2.0
6488,10.1257/aer.p20171051,4839022,W. Schlenker,102.0,14812.0,37.0
6489,10.1257/aer.p20171052,2108263562,Joyce J. Chen,27.0,476.0,11.0
6490,10.1257/aer.p20171052,50022956,V. Mueller,95.0,3491.0,28.0
6491,10.1257/aer.p20171052,50438781,Yuanyuan Jia,28.0,827.0,13.0
6492,10.1257/aer.p20171052,2054658772,S. Tseng,3.0,93.0,2.0
6493,10.1257/aer.p20171053,4665349,J. Baez,40.0,1252.0,18.0
6494,10.1257/aer.p20171053,104771368,G. Caruso,27.0,465.0,12.0
6495,10.1257/aer.p20171053,50022956,V. Mueller,95.0,3491.0,28.0
6496,10.1257/aer.p20171053,107779099,Chiyu Niu,12.0,225.0,8.0
6497,10.1257/aer.p20171054,46219824,M. Partridge,255.0,8858.0,54.0
6498,10.1257/aer.p20171054,2056751010,Bo Feng,9.0,36.0,3.0
6499,10.1257/aer.p20171054,107955848,Mark H. Rembert,6.0,39.0,3.0
6500,10.1257/aer.p20171059,82126230,Jacob Goldin,64.0,986.0,14.0
6501,10.1257/aer.p20171059,96659828,Tatiana A. Homonoff,36.0,553.0,11.0
6502,10.1257/aer.p20171059,1403814035,Will Tucker-Ray,4.0,489.0,2.0
6503,10.1257/aer.p20171060,33176076,Jake Bowers,52.0,1777.0,12.0
6504,10.1257/aer.p20171060,40326467,N. Higgins,24.0,469.0,10.0
6505,10.1257/aer.p20171060,3019739,D. Karlan,283.0,21326.0,67.0
6506,10.1257/aer.p20171060,49059915,Sarah A. Tulman,13.0,43.0,4.0
6507,10.1257/aer.p20171060,4645317,Jonathan Zinman,102.0,11053.0,40.0
6508,10.1257/aer.p20171061,4475912,Adam Sacarny,47.0,522.0,10.0
6509,10.1257/aer.p20171061,33529789,D. Yokum,62.0,501.0,11.0
6510,10.1257/aer.p20171061,145342648,S. Agrawal,36.0,707.0,11.0
6511,10.1257/aer.p20171062,2898954,J. Guyton,23.0,319.0,9.0
6512,10.1257/aer.p20171062,123435193,Patrick Langetieg,21.0,247.0,8.0
6513,10.1257/aer.p20171062,3799782,Dayanand Manoli,29.0,1566.0,13.0
6514,10.1257/aer.p20171062,2950997,Mark Payne,9.0,95.0,4.0
6515,10.1257/aer.p20171062,70191969,B. Schafer,10.0,90.0,6.0
6516,10.1257/aer.p20171062,33120840,Michael Sebastiani,6.0,164.0,3.0
6517,10.1257/aer.p20171084,2062143,S. Mullainathan,234.0,41571.0,71.0
6518,10.1257/aer.p20171084,3797258,Z. Obermeyer,93.0,7373.0,34.0
6519,10.1257/aer.p20171085,1832070,B. Handel,36.0,1991.0,15.0
6520,10.1257/aer.p20171085,5528835,Jonathan T. Kolstad,43.0,2461.0,16.0
6521,10.1257/aer.p20171086,50976681,M. Kyle,75.0,1703.0,21.0
6522,10.1257/aer.p20171086,153761869,Heidi L. Williams,76.0,2660.0,24.0
6523,10.1257/aer.p20171087,2000020,L. Einav,117.0,7773.0,41.0
6524,10.1257/aer.p20171087,143649494,Amy N. Finkelstein,171.0,12774.0,54.0
6525,10.1257/aer.p20171087,2140051455,A. Gupta,16.0,41.0,2.0
6526,10.1257/aer.p20171103,41022342,Martina Bjorkman Nyqvist,9.0,918.0,7.0
6527,10.1257/aer.p20171103,51016770,S. Jayachandran,108.0,5565.0,29.0
6528,10.1257/aer.p20171104,152475870,Jessica L. Cohen,93.0,2244.0,23.0
6529,10.1257/aer.p20171104,7262736,K. Lofgren,26.0,13614.0,9.0
6530,10.1257/aer.p20171104,144597970,M. McConnell,96.0,2369.0,23.0
6531,10.1257/aer.p20171105,47134678,K. Donato,18.0,191.0,5.0
6532,10.1257/aer.p20171105,145422735,G. Miller,36.0,1280.0,17.0
6533,10.1257/aer.p20171105,2104276964,Monoj Mohanan,1.0,31.0,1.0
6534,10.1257/aer.p20171105,40188601,Yulya Truskinovsky,22.0,82.0,5.0
6535,10.1257/aer.p20171105,1398323839,M. Vera-Hernandez,98.0,1983.0,23.0
6536,10.1257/aer.p20171106,2562406,N. Ashraf,89.0,6924.0,31.0
6537,10.1257/aer.p20171106,48562308,Erica M. Field,109.0,5479.0,31.0
6538,10.1257/aer.p20171106,40512025,Giuditta Rusconi,4.0,14.0,2.0
6539,10.1257/aer.p20171106,40535070,Alessandro Voena,1.0,12.0,1.0
6540,10.1257/aer.p20171106,47174578,R. Ziparo,19.0,189.0,8.0
6541,10.1257/aer.p20171132,40655478,J. Berazneva,23.0,466.0,10.0
6542,10.1257/aer.p20171132,31829748,Tanya S. Byker,21.0,231.0,7.0
6543,10.1257/aer.p20171133,35772466,E. Hill,76.0,964.0,16.0
6544,10.1257/aer.p20171133,35566719,Lala Ma,26.0,520.0,11.0
6545,10.1257/aer.p20171134,40575018,Tamara L. Sheldon,41.0,473.0,11.0
